IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
UV_1,UV radiation,numeric,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2004,true,,,,,,,,,,,,,5358,,,,,,"5,358",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AMR,Americas,Country,SLV,El Salvador,Year,2004,true,,,,,,,,,,,,,5364,,,,,,"5,364",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2004,true,,,,,,,,,,,,,5372,,,,,,"5,372",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2004,true,,,,,,,,,,,,,5377,,,,,,"5,377",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2004,true,,,,,,,,,,,,,5384,,,,,,"5,384",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AMR,Americas,Country,COL,Colombia,Year,2004,true,,,,,,,,,,,,,5385,,,,,,"5,385",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AFR,Africa,Country,GIN,Guinea,Year,2004,true,,,,,,,,,,,,,5391,,,,,,"5,391",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2004,true,,,,,,,,,,,,,5461,,,,,,"5,461",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AMR,Americas,Country,DMA,Dominica,Year,2004,true,,,,,,,,,,,,,5464,,,,,,"5,464",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2004,true,,,,,,,,,,,,,5465,,,,,,"5,465",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2004,true,,,,,,,,,,,,,5483,,,,,,"5,483",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2004,true,,,,,,,,,,,,,5498,,,,,,"5,498",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AFR,Africa,Country,UGA,Uganda,Year,2004,true,,,,,,,,,,,,,5499,,,,,,"5,499",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AFR,Africa,Country,COM,Comoros,Year,2004,true,,,,,,,,,,,,,5524,,,,,,"5,524",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AFR,Africa,Country,MRT,Mauritania,Year,2004,true,,,,,,,,,,,,,5547,,,,,,"5,547",,,EN,2013-06-10T22:00:00.000Z
