Location,Age-standardized suicide rates (per 100 000 population),Mean BMI (kg/m²) (age-standardized estimate),UV radiation,"Nurses working in mental health sector (per 100,000)",Adolescent birth rate (per 1000 women aged 15-19 years),"13-15-years old any alcoholic beverage consumed in past 30 days, (%)","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",Estimate of daily tobacco use prevalence (%),Government expenditures on mental health as a percentage of total government expenditures on health (%),"Psychiatrists working in mental health sector (per 100,000)","Mental hospital admissions (per 100,000)",Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),"Social workers working in mental health sector (per 100,000)",Proportion of women aged 20-24 years who were married or in a union by age 15 (%)
Madagascar,9.443333333333333,21.3,4.771,0.31,150.8,,2.0,23.3,,0.058,4.32,23.69666666666667,21.3,0.05,12.0
Malawi,12.17,22.85,5.019,,137.6,,3.6,8.6,1.0,,,10.979999999999999,21.3,,9.0
Malaysia,5.386666666666667,25.65,5.225,6.84,10.433333333333334,,0.9,18.1,0.39,1.05,,34.00333333333333,18.1,,
Maldives,3.0700000000000003,25.4,10.224,,9.6,,2.2,,,2.39,0.0,19.72,17.0,0.48,0.0
Mali,8.263333333333334,22.95,5.617,0.092,164.0,,1.3,9.8,,0.029,,34.156666666666666,24.1,,17.0
Malta,5.5,27.1,3.091,,12.133333333333333,,8.0,18.8,6.71,,,35.85333333333333,20.8,,
Mauritania,5.3566666666666665,24.9,5.547,,,,0.0,,,,,50.699999999999996,25.1,,18.0
Mauritius,8.226666666666667,25.2,5.055,,23.900000000000002,21.0,4.4,21.4,,2.38,,48.883333333333326,26.5,1.51,
Mexico,5.6866666666666665,27.95,4.974,2.24,63.300000000000004,,5.0,8.3,0.65,0.21,,40.733333333333334,16.6,0.53,4.0
Micronesia (Federated States of),28.41,29.65,4.587,,,,2.5,,,,0.0,2.48,19.2,,
Mongolia,19.536666666666665,26.15,2.226,4.2,30.1,,8.2,22.1,2.0,4.03,,33.343333333333334,21.7,0.1,0.0
Montenegro,16.233333333333334,26.5,,18.31,10.533333333333333,,11.5,,,8.28,,,30.2,1.11,1.0
Morocco,7.4366666666666665,25.95,3.568,2.45,19.0,,0.7,12.5,,0.84,27.92,54.596666666666664,23.8,0.65,3.0
Mozambique,23.486666666666665,22.75,4.646,,180.0,9.6,2.3,11.1,0.16,0.046,,10.700000000000001,22.1,0.018,14.0
Myanmar,3.2566666666666664,22.6,4.565,0.32,28.0,3.9,5.1,36.7,,0.38,25.48,74.27,22.4,0.013,2.0
Namibia,15.476666666666667,24.2,5.305,0.91,63.9,,5.4,12.9,,0.37,0.0,7.609999999999999,22.3,0.21,2.0
Nepal,9.713333333333333,22.45,4.13,0.56,88.2,4.6,2.1,24.6,0.7,0.36,3.49,57.556666666666665,25.0,,7.0
Netherlands,9.416666666666666,25.55,1.662,,3.033333333333333,,9.6,17.7,10.65,20.87,,11.209999999999999,21.7,,
New Zealand,11.596666666666666,28.0,2.487,75.13,16.466666666666665,,10.6,13.1,10.0,28.54,,13.506666666666666,17.9,,
Nicaragua,4.596666666666667,27.2,5.078,,106.4,,5.2,,1.0,0.69,,34.76666666666667,16.2,3.57,10.0
Niger,10.253333333333334,21.8,5.811,0.13,150.0,,0.7,6.8,,0.014,,52.836666666666666,26.5,0.028,28.0
Nigeria,7.196666666666666,23.2,5.251,,113.0,,10.8,4.0,,,4.84,74.76666666666667,17.8,,18.0
Norway,10.683333333333332,26.65,1.439,,3.7999999999999994,,7.4,9.7,,48.04,1.101,14.306666666666667,21.0,,
Oman,4.583333333333333,26.3,5.102,3.0,13.6,,0.8,10.5,,1.74,44.67,6.330000000000001,15.0,,
Pakistan,9.986666666666666,23.9,4.227,,49.0,,0.3,16.1,,,16.83,63.18333333333334,23.8,,3.0
Panama,3.17,26.85,4.898,3.45,79.8,,8.0,5.3,,4.03,16.63,29.2,17.1,9.22,7.0
Papua New Guinea,3.5966666666666662,25.55,5.377,,68.0,,1.4,,0.1,,2.78,10.503333333333332,20.2,,2.0
Paraguay,5.873333333333332,26.65,4.038,,72.0,28.5,7.6,9.0,0.31,,0.02,43.89000000000001,18.4,,4.0
Peru,2.723333333333333,26.6,5.906,5.99,52.333333333333336,,6.4,7.8,0.27,2.95,8.59,28.900000000000002,10.4,,3.0
Philippines,2.67,23.15,4.928,,42.95,18.2,6.9,19.2,,0.52,6.67,53.843333333333334,17.7,,2.0
Poland,11.86,26.65,1.749,30.92,11.799999999999999,,11.7,22.8,5.08,24.18,539.0,23.149999999999995,30.6,,
Portugal,7.8500000000000005,25.65,2.585,,8.066666666666668,,12.0,17.8,5.24,,,29.08,28.6,,
Qatar,4.763333333333333,29.15,4.905,9.93,9.4,,1.6,19.1,,2.71,56.7,8.58,11.5,0.11,0.0
Republic of Korea,20.333333333333332,23.75,2.535,13.66,1.2333333333333334,,9.7,20.8,,5.79,,33.086666666666666,11.2,8.4,
Republic of Moldova,13.18,27.0,1.91,14.83,22.75,,11.4,20.1,3.24,4.55,636.4,45.370000000000005,31.5,0.49,0.0
Romania,8.216666666666667,26.799999999999997,2.071,18.71,36.63333333333333,,11.7,21.6,,5.66,0.0,20.84,32.6,0.5,
Russian Federation,26.39,26.2,1.795,,22.75,,11.2,25.7,,8.48,549.2,39.873333333333335,29.4,2.4,
Rwanda,9.746666666666668,22.05,5.13,1.38,41.0,,9.0,9.6,,0.06,28.03,11.536666666666667,19.2,0.17,0.0
Saint Lucia,7.2,29.9,5.164,50.79,32.9,,10.6,,4.13,0.56,894.9,46.03,25.5,0.56,1.0
Saint Vincent and the Grenadines,1.3266666666666667,27.15,5.358,4.57,54.63333333333333,,9.1,,5.6,,,30.30333333333333,20.6,1.83,
Samoa,14.906666666666666,32.150000000000006,4.966,1.55,,,2.7,23.3,,1.55,6.78,11.506666666666668,19.7,1.55,1.0
Sao Tome and Principe,2.1766666666666667,24.75,4.422,4.6,86.0,,5.9,3.8,,0.51,1.017,14.93,18.4,0.51,8.0
Saudi Arabia,5.863333333333333,28.45,5.384,10.66,,,0.2,15.3,3.89,1.32,,14.300000000000002,16.2,3.95,
Senegal,11.57,22.95,5.356,0.27,72.75,,0.8,7.3,,0.2,140.2,51.95666666666667,22.9,0.067,9.0
Serbia,7.533333333333334,26.05,,13.17,15.666666666666666,,8.8,31.1,,8.64,103.6,40.56,32.5,0.36,0.0
Seychelles,7.739999999999999,26.65,5.57,8.53,62.666666666666664,47.9,20.5,16.7,,2.13,2.14,26.266666666666666,21.3,,
Sierra Leone,10.766666666666666,22.7,5.087,0.33,139.4,10.1,5.7,17.7,,0.041,3.5,39.723333333333336,23.3,0.028,13.0
Singapore,7.37,23.6,3.979,,2.6666666666666665,,2.0,12.7,4.14,4.19,142.3,32.626666666666665,13.7,,
Slovakia,9.67,26.4,1.795,,25.766666666666666,,11.1,22.6,,,,18.346666666666668,29.2,,
Slovenia,14.443333333333333,26.55,2.256,36.73,4.233333333333333,,11.9,17.8,8.0,11.95,450.7,12.276666666666666,34.8,1.98,
Solomon Islands,17.86,26.25,4.071,,,,1.8,30.6,1.3,,0.0,1.8966666666666665,16.5,,6.0
Somalia,14.909999999999998,23.15,5.773,,118.0,,0.0,,,,,,24.7,,8.0
South Africa,25.566666666666666,27.25,4.111,,56.0,,9.5,23.3,,1.52,,7.739999999999999,23.6,,1.0
South Sudan,6.433333333333334,,,0.017,,,,,,0.025,0.0,19.19,,,9.0
Spain,5.6499999999999995,25.95,2.705,2.87,7.333333333333333,,12.7,22.0,5.0,9.69,54.6,22.126666666666665,22.3,0.11,
Sri Lanka,14.18,23.05,5.264,3.28,21.0,2.0,4.1,18.4,,0.52,40.4,49.71,23.8,0.28,2.0
Sudan,4.843333333333333,,5.783,,,,0.5,,,0.08,,68.67333333333333,,0.55,12.0
Suriname,25.583333333333332,26.5,4.799,16.63,59.13333333333333,36.1,5.3,,,1.27,201.7,23.406666666666666,19.9,0.36,5.0
Sweden,12.556666666666667,26.0,1.587,50.57,4.466666666666667,,8.9,18.6,10.0,20.86,,14.486666666666666,22.3,,
Switzerland,10.209999999999999,25.2,2.158,92.66,2.6333333333333333,,11.5,19.0,,43.96,689.8,26.28,20.2,,
Syrian Arab Republic,1.92,28.25,3.501,1.07,,,0.2,,2.0,0.37,14.43,,19.4,0.8,3.0
Tajikistan,5.286666666666666,26.0,3.538,1.5,54.3,,3.3,,1.22,1.39,42.81,63.910000000000004,20.0,,0.0
Thailand,7.41,24.35,4.862,7.42,41.699999999999996,19.2,8.3,18.5,4.0,0.72,133.0,11.586666666666666,23.8,0.84,4.0
The former Yugoslav Republic of Macedonia,7.260000000000001,26.75,2.403,,15.9,,6.2,,,14.43,,37.336666666666666,29.2,1.44,1.0
Timor-Leste,4.41,21.25,5.637,1.37,41.9,12.0,2.2,27.4,,0.081,0.0,7.866666666666667,20.9,1.61,3.0
Togo,16.02,23.55,5.307,0.27,79.0,,2.5,6.0,,0.054,8.25,55.01333333333334,21.8,0.054,6.0
Tonga,4.95,32.150000000000006,4.087,16.92,30.0,10.4,0.8,25.8,,2.82,0.0,9.976666666666667,20.6,,0.0
Trinidad and Tobago,9.243333333333334,27.55,5.245,,,29.8,6.7,,,,140.7,41.63,26.6,,3.0
Tunisia,3.0066666666666664,26.3,3.262,0.2,8.233333333333333,,2.1,20.7,4.95,,48.94,39.53,22.4,,0.0
Turkey,2.26,27.85,2.924,150.3,22.899999999999995,,2.1,24.8,,1.64,,16.933333333333334,19.2,1.64,1.0
Turkmenistan,6.48,26.5,3.164,,22.0,,4.9,,,,,73.31666666666666,20.6,,0.0
Uganda,10.813333333333333,22.45,5.499,2.24,121.45,,15.1,6.8,,0.082,0.0,38.800000000000004,19.0,0.037,10.0
Ukraine,17.456666666666667,26.55,1.843,,22.433333333333334,,8.3,21.6,,6.93,,48.63999999999999,30.4,,0.0
United Arab Emirates,5.0,28.4,4.862,4.37,7.15,,3.9,22.4,,1.65,4.75,16.123333333333335,13.0,0.36,
United Kingdom of Great Britain and Northern Ireland,7.5566666666666675,27.1,1.576,,13.5,,11.5,16.0,,,,15.410000000000002,18.8,,
United Republic of Tanzania,8.233333333333334,23.15,5.483,0.36,138.9,,11.3,10.0,2.4,0.056,6.86,23.89,20.9,0.065,5.0
United States of America,13.64,28.85,2.736,4.28,20.333333333333332,,9.9,16.0,,10.54,53.01,11.14,15.0,60.34,
Uruguay,17.966666666666665,27.35,3.235,,49.166666666666664,,6.9,17.0,,14.13,,16.62,22.3,,1.0
Uzbekistan,9.11,26.799999999999997,3.172,9.21,19.9,,2.6,9.2,2.32,2.61,238.5,53.25333333333333,20.7,,0.0
Vanuatu,21.09,26.15,4.555,4.54,,12.4,2.3,19.3,,0.38,0.0,9.81,19.5,0.38,3.0
Venezuela (Bolivarian Republic of),2.3000000000000003,26.7,5.211,,,,4.1,,,,,26.673333333333332,14.8,,
Viet Nam,7.5633333333333335,21.799999999999997,4.293,,,,8.7,,,,,44.379999999999995,21.5,,1.0
Yemen,6.88,23.75,6.089,0.32,,,0.1,15.3,,0.2,,80.96,22.4,0.056,9.0
Zambia,16.88,22.55,5.265,1.43,135.0,,6.5,10.1,,0.056,63.18,12.153333333333334,18.0,0.019,6.0
Zimbabwe,28.429999999999996,23.8,4.918,3.49,107.9,,4.7,9.4,0.01,0.095,17.12,24.096666666666664,19.9,0.63,4.0
